.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR8668755_10K_subsample	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR8668756_10K_subsample	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR8668757_10K_subsample	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR8668758_10K_subsample	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR8668759_10K_subsample	1	1	1	0.25	0.25	1	0.5	1	0.25	0.5
SRR8668769_10K_subsample	1	1	1	0.25	0.25	1	0.5	1	0.5	1
SRR8668771_10K_subsample	1	1	1	0.25	0.25	1	0.5	1	0.5	1
SRR8668772_10K_subsample	1	1	1	0.25	0.25	1	0.5	1	0.5	1
SRR8668773_10K_subsample	1	1	1	0.25	0.25	1	0.5	1	0.5	1
SRR8668774_10K_subsample	1	1	1	0.25	0.25	1	0.5	1	0.5	1
