Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
SRR8668755_10K_subsample - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.01)	(10, 0.03)	(11, 0.03)	(12, 0.04)	(13, 0.04)	(14, 0.04)	(15, 0.04)	(16, 0.04)	(17, 0.04)	(18, 0.04)	(19, 0.04)	(20, 0.04)	(21, 0.05)	(22, 0.05)	(23, 0.05)	(24, 0.05)	(25, 0.05)	(26, 0.05)	(27, 0.06)	(28, 0.06)	(29, 0.07)	(30, 0.07)	(31, 0.08)	(32, 0.08)	(33, 0.08)	(34, 0.09)	(35, 0.09)	(36, 0.1)	(37, 0.1)	(38, 0.11)	(39, 0.11)	(40, 0.12)	(41, 0.12)	(42, 0.12)	(43, 0.12)	(44, 0.14)	(45, 0.14)	(46, 0.14)	(47, 0.14)	(48, 0.14)	(49, 0.14)	(50, 0.14)	(51, 0.14)	(52, 0.14)	(53, 0.15)	(54, 0.15)	(55, 0.15)	(56, 0.15)	(57, 0.16)	(58, 0.16)	(59, 0.17)	(60, 0.17)	(61, 0.17)	(62, 0.17)	(63, 0.17)	(64, 0.17)
SRR8668756_10K_subsample - polya	(1, 0.01)	(2, 0.01)	(3, 0.01)	(4, 0.01)	(5, 0.02)	(6, 0.02)	(7, 0.02)	(8, 0.02)	(9, 0.08)	(10, 0.11)	(11, 0.12)	(12, 0.12)	(13, 0.13)	(14, 0.13)	(15, 0.14)	(16, 0.14)	(17, 0.15)	(18, 0.15)	(19, 0.15)	(20, 0.15)	(21, 0.15)	(22, 0.16)	(23, 0.16)	(24, 0.17)	(25, 0.18)	(26, 0.18)	(27, 0.18)	(28, 0.18)	(29, 0.19)	(30, 0.19)	(31, 0.19)	(32, 0.19)	(33, 0.19)	(34, 0.2)	(35, 0.2)	(36, 0.21)	(37, 0.21)	(38, 0.22)	(39, 0.22)	(40, 0.22)	(41, 0.23)	(42, 0.24)	(43, 0.25)	(44, 0.25)	(45, 0.25)	(46, 0.26)	(47, 0.26)	(48, 0.26)	(49, 0.26)	(50, 0.26)	(51, 0.26)	(52, 0.26)	(53, 0.26)	(54, 0.27)	(55, 0.27)	(56, 0.27)	(57, 0.27)	(58, 0.27)	(59, 0.27)	(60, 0.27)	(61, 0.27)	(62, 0.27)	(63, 0.28)	(64, 0.28)
SRR8668757_10K_subsample - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.01)	(6, 0.03)	(7, 0.05)	(8, 0.05)	(9, 0.06)	(10, 0.07)	(11, 0.07)	(12, 0.08)	(13, 0.08)	(14, 0.08)	(15, 0.09)	(16, 0.1)	(17, 0.1)	(18, 0.1)	(19, 0.1)	(20, 0.1)	(21, 0.1)	(22, 0.1)	(23, 0.12)	(24, 0.13)	(25, 0.13)	(26, 0.14)	(27, 0.14)	(28, 0.15)	(29, 0.17)	(30, 0.17)	(31, 0.17)	(32, 0.17)	(33, 0.17)	(34, 0.19)	(35, 0.21)	(36, 0.21)	(37, 0.21)	(38, 0.21)	(39, 0.24)	(40, 0.24)	(41, 0.24)	(42, 0.25)	(43, 0.26)	(44, 0.26)	(45, 0.27)	(46, 0.27)	(47, 0.27)	(48, 0.28)	(49, 0.28)	(50, 0.29)	(51, 0.29)	(52, 0.29)	(53, 0.3)	(54, 0.3)	(55, 0.31)	(56, 0.31)	(57, 0.31)	(58, 0.31)	(59, 0.33)	(60, 0.33)	(61, 0.34)	(62, 0.34)	(63, 0.35)	(64, 0.35)
SRR8668758_10K_subsample - polya	(1, 0.0)	(2, 0.01)	(3, 0.01)	(4, 0.01)	(5, 0.01)	(6, 0.01)	(7, 0.01)	(8, 0.01)	(9, 0.04)	(10, 0.07)	(11, 0.07)	(12, 0.07)	(13, 0.08)	(14, 0.09)	(15, 0.09)	(16, 0.11)	(17, 0.11)	(18, 0.11)	(19, 0.11)	(20, 0.12)	(21, 0.13)	(22, 0.13)	(23, 0.13)	(24, 0.14)	(25, 0.15)	(26, 0.17)	(27, 0.17)	(28, 0.17)	(29, 0.18)	(30, 0.18)	(31, 0.18)	(32, 0.18)	(33, 0.19)	(34, 0.19)	(35, 0.2)	(36, 0.2)	(37, 0.2)	(38, 0.21)	(39, 0.21)	(40, 0.22)	(41, 0.22)	(42, 0.22)	(43, 0.22)	(44, 0.22)	(45, 0.22)	(46, 0.22)	(47, 0.22)	(48, 0.22)	(49, 0.23)	(50, 0.23)	(51, 0.24)	(52, 0.24)	(53, 0.24)	(54, 0.24)	(55, 0.24)	(56, 0.24)	(57, 0.24)	(58, 0.24)	(59, 0.24)	(60, 0.24)	(61, 0.25)	(62, 0.25)	(63, 0.26)	(64, 0.26)
SRR8668758_10K_subsample - polyg	(1, 0.16)	(2, 0.73)	(3, 0.73)	(4, 0.73)	(5, 0.73)	(6, 0.73)	(7, 0.73)	(8, 0.73)	(9, 0.74)	(10, 0.74)	(11, 0.74)	(12, 0.74)	(13, 0.75)	(14, 0.75)	(15, 0.75)	(16, 0.75)	(17, 0.75)	(18, 0.75)	(19, 0.75)	(20, 0.75)	(21, 0.75)	(22, 0.75)	(23, 0.75)	(24, 0.75)	(25, 0.75)	(26, 0.75)	(27, 0.75)	(28, 0.75)	(29, 0.75)	(30, 0.75)	(31, 0.75)	(32, 0.75)	(33, 0.75)	(34, 0.75)	(35, 0.75)	(36, 0.75)	(37, 0.75)	(38, 0.75)	(39, 0.75)	(40, 0.75)	(41, 0.75)	(42, 0.75)	(43, 0.75)	(44, 0.75)	(45, 0.75)	(46, 0.75)	(47, 0.75)	(48, 0.75)	(49, 0.75)	(50, 0.75)	(51, 0.75)	(52, 0.75)	(53, 0.75)	(54, 0.75)	(55, 0.76)	(56, 0.76)	(57, 0.76)	(58, 0.77)	(59, 0.78)	(60, 0.79)	(61, 0.8)	(62, 0.8)	(63, 0.8)	(64, 0.8)
SRR8668759_10K_subsample - polya	(1, 0.01)	(2, 0.01)	(3, 0.02)	(4, 0.02)	(5, 0.02)	(6, 0.02)	(7, 0.02)	(8, 0.02)	(9, 0.03)	(10, 0.04)	(11, 0.04)	(12, 0.04)	(13, 0.04)	(14, 0.04)	(15, 0.04)	(16, 0.05)	(17, 0.06)	(18, 0.07)	(19, 0.07)	(20, 0.07)	(21, 0.07)	(22, 0.07)	(23, 0.07)	(24, 0.07)	(25, 0.07)	(26, 0.07)	(27, 0.07)	(28, 0.07)	(29, 0.07)	(30, 0.07)	(31, 0.07)	(32, 0.07)	(33, 0.07)	(34, 0.07)	(35, 0.07)	(36, 0.08)	(37, 0.09)	(38, 0.11)	(39, 0.11)	(40, 0.11)	(41, 0.11)	(42, 0.11)	(43, 0.11)	(44, 0.12)	(45, 0.13)	(46, 0.15)	(47, 0.15)	(48, 0.15)	(49, 0.15)	(50, 0.16)	(51, 0.17)	(52, 0.18)	(53, 0.18)	(54, 0.18)	(55, 0.18)	(56, 0.18)	(57, 0.18)	(58, 0.19)	(59, 0.2)	(60, 0.2)	(61, 0.21)	(62, 0.23)	(63, 0.31)	(64, 0.31)
SRR8668759_10K_subsample - polyg	(1, 2.4)	(2, 5.73)	(3, 5.73)	(4, 5.73)	(5, 5.73)	(6, 5.73)	(7, 5.73)	(8, 5.73)	(9, 5.75)	(10, 5.76)	(11, 5.76)	(12, 5.76)	(13, 5.76)	(14, 5.76)	(15, 5.76)	(16, 5.77)	(17, 5.77)	(18, 5.77)	(19, 5.77)	(20, 5.77)	(21, 5.77)	(22, 5.77)	(23, 5.77)	(24, 5.77)	(25, 5.77)	(26, 5.77)	(27, 5.77)	(28, 5.77)	(29, 5.77)	(30, 5.77)	(31, 5.77)	(32, 5.77)	(33, 5.77)	(34, 5.77)	(35, 5.77)	(36, 5.77)	(37, 5.77)	(38, 5.77)	(39, 5.77)	(40, 5.77)	(41, 5.77)	(42, 5.77)	(43, 5.82)	(44, 5.82)	(45, 5.83)	(46, 5.83)	(47, 5.84)	(48, 5.84)	(49, 5.87)	(50, 5.9)	(51, 5.9)	(52, 5.9)	(53, 5.91)	(54, 5.91)	(55, 5.91)	(56, 5.91)	(57, 5.91)	(58, 5.91)	(59, 5.91)	(60, 5.91)	(61, 5.91)	(62, 5.91)	(63, 5.91)	(64, 5.91)
SRR8668769_10K_subsample - polya	(1, 0.01)	(2, 0.02)	(3, 0.02)	(4, 0.03)	(5, 0.04)	(6, 0.04)	(7, 0.04)	(8, 0.04)	(9, 0.04)	(10, 0.05)	(11, 0.05)	(12, 0.06)	(13, 0.06)	(14, 0.06)	(15, 0.06)	(16, 0.07)	(17, 0.07)	(18, 0.07)	(19, 0.07)	(20, 0.08)	(21, 0.08)	(22, 0.08)	(23, 0.08)	(24, 0.08)	(25, 0.08)	(26, 0.09)	(27, 0.09)	(28, 0.09)	(29, 0.09)	(30, 0.09)	(31, 0.09)	(32, 0.1)	(33, 0.1)	(34, 0.1)	(35, 0.1)	(36, 0.1)	(37, 0.11)	(38, 0.12)	(39, 0.12)	(40, 0.12)	(41, 0.12)	(42, 0.12)	(43, 0.13)	(44, 0.13)	(45, 0.13)	(46, 0.13)	(47, 0.13)	(48, 0.13)	(49, 0.13)	(50, 0.13)	(51, 0.14)	(52, 0.14)	(53, 0.14)	(54, 0.14)	(55, 0.14)	(56, 0.15)	(57, 0.15)	(58, 0.15)	(59, 0.15)	(60, 0.15)	(61, 0.15)	(62, 0.15)	(63, 0.15)	(64, 0.15)
SRR8668771_10K_subsample - polya	(1, 0.01)	(2, 0.01)	(3, 0.01)	(4, 0.01)	(5, 0.01)	(6, 0.01)	(7, 0.01)	(8, 0.01)	(9, 0.01)	(10, 0.01)	(11, 0.02)	(12, 0.03)	(13, 0.03)	(14, 0.03)	(15, 0.03)	(16, 0.03)	(17, 0.03)	(18, 0.03)	(19, 0.03)	(20, 0.03)	(21, 0.04)	(22, 0.04)	(23, 0.04)	(24, 0.05)	(25, 0.05)	(26, 0.05)	(27, 0.06)	(28, 0.07)	(29, 0.07)	(30, 0.07)	(31, 0.07)	(32, 0.07)	(33, 0.07)	(34, 0.07)	(35, 0.07)	(36, 0.08)	(37, 0.08)	(38, 0.08)	(39, 0.08)	(40, 0.08)	(41, 0.09)	(42, 0.09)	(43, 0.09)	(44, 0.1)	(45, 0.1)	(46, 0.1)	(47, 0.1)	(48, 0.1)	(49, 0.1)	(50, 0.1)	(51, 0.1)	(52, 0.1)	(53, 0.11)	(54, 0.11)	(55, 0.11)	(56, 0.11)	(57, 0.13)	(58, 0.13)	(59, 0.13)	(60, 0.13)	(61, 0.13)	(62, 0.13)	(63, 0.13)	(64, 0.13)
SRR8668772_10K_subsample - polya	(1, 0.01)	(2, 0.02)	(3, 0.02)	(4, 0.02)	(5, 0.02)	(6, 0.02)	(7, 0.02)	(8, 0.02)	(9, 0.02)	(10, 0.02)	(11, 0.02)	(12, 0.03)	(13, 0.03)	(14, 0.04)	(15, 0.04)	(16, 0.04)	(17, 0.05)	(18, 0.06)	(19, 0.06)	(20, 0.06)	(21, 0.07)	(22, 0.07)	(23, 0.07)	(24, 0.08)	(25, 0.09)	(26, 0.09)	(27, 0.09)	(28, 0.1)	(29, 0.1)	(30, 0.1)	(31, 0.11)	(32, 0.11)	(33, 0.12)	(34, 0.12)	(35, 0.12)	(36, 0.13)	(37, 0.13)	(38, 0.13)	(39, 0.13)	(40, 0.14)	(41, 0.15)	(42, 0.15)	(43, 0.16)	(44, 0.16)	(45, 0.17)	(46, 0.18)	(47, 0.19)	(48, 0.19)	(49, 0.2)	(50, 0.21)	(51, 0.21)	(52, 0.21)	(53, 0.21)	(54, 0.22)	(55, 0.23)	(56, 0.24)	(57, 0.25)	(58, 0.27)	(59, 0.27)	(60, 0.27)	(61, 0.28)	(62, 0.28)	(63, 0.28)	(64, 0.28)
