Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR8668755_10K_subsample	0.29	4.13
SRR8668756_10K_subsample	0.36	1.83
SRR8668757_10K_subsample	0.3	1.8699999999999999
SRR8668758_10K_subsample	0.64	2.1199999999999997
SRR8668759_10K_subsample	3.71	8.36
SRR8668769_10K_subsample	0.54	5.24
SRR8668771_10K_subsample	0.32	2.3000000000000003
SRR8668772_10K_subsample	0.38999999999999996	3.55
SRR8668773_10K_subsample	0.47000000000000003	3.0199999999999996
SRR8668774_10K_subsample	0.44	2.44
