Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
SRR8668755_10K_subsample	(1, 31.3837)	(2, 31.4549)	(3, 31.5056)	(4, 31.4987)	(5, 31.5517)	(6, 34.9931)	(7, 34.987)	(8, 34.9278)	(9, 34.9353)	(10, 34.8954)	(11, 34.9328)	(12, 34.951)	(13, 34.9055)	(14, 34.7909)	(15, 34.9211)	(16, 34.9091)	(17, 34.8765)	(18, 34.918)	(19, 34.7985)	(20, 34.8398)	(21, 34.8724)	(22, 34.8472)	(23, 34.8116)	(24, 34.8032)	(25, 34.7156)	(26, 34.6339)	(27, 34.6032)	(28, 34.5717)	(29, 34.6293)	(30, 34.5863)	(31, 34.5)	(32, 34.5146)	(33, 34.4652)	(34, 34.4736)	(35, 34.5277)	(36, 34.513851385138516)	(37, 34.53565356535653)	(38, 34.446244624462445)	(39, 34.37893789378938)	(40, 34.33286657331466)	(41, 34.36037207441488)	(42, 34.28505701140228)	(43, 34.26655331066213)	(44, 34.263252650530106)	(45, 34.18825647694308)	(46, 34.122036610983294)	(47, 34.12783835150545)	(48, 34.199359807942386)	(49, 34.17805341602481)	(50, 34.03941182354706)	(51, 34.07202881152461)	(52, 34.04832416208104)	(53, 34.00350175087544)	(54, 33.975987993997)	(55, 33.838503101861114)	(56, 33.864104873411385)	(57, 33.792792792792795)	(58, 33.84454454454455)	(59, 33.73150465512063)	(60, 33.66539809714572)	(61, 33.60044083759142)	(62, 33.614451793946685)	(63, 33.47112492480449)	(64, 33.51559835490019)	(65, 33.54159558454591)	(66, 33.311075409177626)	(67, 33.44089585216431)	(68, 33.24170854271357)	(69, 33.364230421232534)	(70, 33.34692028985507)	(71, 33.20125088267931)	(72, 33.23358329955411)	(73, 33.233697895171275)	(74, 33.187728430612474)	(75, 31.782538988485644)
SRR8668756_10K_subsample	(1, 30.9755)	(2, 31.1884)	(3, 31.1508)	(4, 31.1515)	(5, 31.1427)	(6, 34.3418)	(7, 34.2082)	(8, 34.2318)	(9, 34.1763)	(10, 34.1587)	(11, 34.3161)	(12, 34.3579)	(13, 34.2601)	(14, 34.2729)	(15, 34.3088)	(16, 34.2518)	(17, 34.3157)	(18, 34.2165)	(19, 34.2002)	(20, 34.1815)	(21, 34.1889)	(22, 34.0372)	(23, 34.0704)	(24, 34.0324)	(25, 34.0685)	(26, 33.8049)	(27, 33.8394)	(28, 33.8731)	(29, 33.7621)	(30, 33.8301)	(31, 33.8935)	(32, 33.8144)	(33, 33.8172)	(34, 33.7366)	(35, 33.5994)	(36, 33.71141342402721)	(37, 33.631952781112446)	(38, 33.569184592296146)	(39, 33.52306153076538)	(40, 33.46087652591555)	(41, 33.49369621773064)	(42, 33.37506254378064)	(43, 33.369195356285026)	(44, 33.22682682682683)	(45, 33.21081081081081)	(46, 33.16599919903884)	(47, 33.192931517821386)	(48, 33.20038053274585)	(49, 33.149854753080234)	(50, 32.969745541975556)	(51, 32.96372382002205)	(52, 32.952891650796836)	(53, 32.868070175438596)	(54, 32.74699157641396)	(55, 32.73006319590731)	(56, 32.80895043146699)	(57, 32.81138325637422)	(58, 32.65495079333199)	(59, 32.684956285800425)	(60, 32.69640881199074)	(61, 32.50337191746351)	(62, 32.44320241691843)	(63, 32.572076612903224)	(64, 32.452820668079525)	(65, 32.47979797979798)	(66, 32.3533097524002)	(67, 32.35376213592233)	(68, 32.22336978533819)	(69, 32.28388928317956)	(70, 32.17691839220463)	(71, 32.07965412004069)	(72, 32.23229635693819)	(73, 32.09412501304393)	(74, 31.985165205664195)	(75, 30.49010424535428)
SRR8668757_10K_subsample	(1, 31.4851)	(2, 31.4567)	(3, 31.5864)	(4, 31.6191)	(5, 31.5565)	(6, 35.0691)	(7, 35.1191)	(8, 35.0031)	(9, 34.9767)	(10, 34.9317)	(11, 35.1311)	(12, 35.1345)	(13, 35.031)	(14, 34.969)	(15, 34.9999)	(16, 35.0724)	(17, 35.033)	(18, 35.0822)	(19, 35.001)	(20, 34.9899)	(21, 35.0556)	(22, 35.0393)	(23, 34.9706)	(24, 34.9064)	(25, 34.8368)	(26, 34.7221)	(27, 34.7703)	(28, 34.7116)	(29, 34.7646)	(30, 34.7307)	(31, 34.6907)	(32, 34.6943)	(33, 34.6616)	(34, 34.6866)	(35, 34.6377)	(36, 34.61022204440888)	(37, 34.55171034206841)	(38, 34.49829965993199)	(39, 34.48879775955191)	(40, 34.49899979995999)	(41, 34.422984596919385)	(42, 34.49469893978796)	(43, 34.44148829765953)	(44, 34.51940776310524)	(45, 34.40216086434574)	(46, 34.439963978387034)	(47, 34.45157094256554)	(48, 34.41278895226659)	(49, 34.344541178825175)	(50, 34.325192673406065)	(51, 34.292792792792795)	(52, 34.243643643643644)	(53, 34.08948948948949)	(54, 34.155871458604466)	(55, 34.020923015316846)	(56, 34.034140969163)	(57, 34.051862234681614)	(58, 34.06118565992389)	(59, 34.03554976967755)	(60, 33.90955528846154)	(61, 33.884892807052694)	(62, 33.859819639278555)	(63, 33.80222534081796)	(64, 33.72415521909155)	(65, 33.68355065195587)	(66, 33.58059985956465)	(67, 33.60044150110375)	(68, 33.57031014754592)	(69, 33.62633058847158)	(70, 33.557085427135675)	(71, 33.437418185479814)	(72, 33.448987854251016)	(73, 33.46370385646525)	(74, 33.498234774933806)	(75, 32.12684766214178)
SRR8668758_10K_subsample	(1, 30.7152)	(2, 30.8447)	(3, 30.8539)	(4, 30.8638)	(5, 30.8661)	(6, 33.883)	(7, 33.7123)	(8, 33.7383)	(9, 33.737)	(10, 33.7736)	(11, 33.7875)	(12, 33.8085)	(13, 33.7286)	(14, 33.7961)	(15, 33.612)	(16, 33.7349)	(17, 33.8326)	(18, 33.7156)	(19, 33.6698)	(20, 33.6765)	(21, 33.6747)	(22, 33.6042)	(23, 33.5822)	(24, 33.4654)	(25, 33.4267)	(26, 33.3486)	(27, 33.2532)	(28, 33.1925)	(29, 33.2218)	(30, 33.2339)	(31, 33.2435)	(32, 33.1252)	(33, 33.0746)	(34, 33.0532)	(35, 33.0778)	(36, 33.09264086625225)	(37, 32.932103098987064)	(38, 32.88720521826392)	(39, 32.847876292800485)	(40, 32.728971962616825)	(41, 32.55937657114128)	(42, 32.557444668008046)	(43, 32.57406102104521)	(44, 32.59854897218863)	(45, 32.48099606815203)	(46, 32.279252902574456)	(47, 32.35927235977766)	(48, 32.41341969436292)	(49, 32.21435814236463)	(50, 32.261629087954496)	(51, 32.21854978134852)	(52, 32.08984414790669)	(53, 31.99754876927791)	(54, 31.85701125895599)	(55, 31.707832871368442)	(56, 31.881226842321944)	(57, 31.759133126934984)	(58, 31.57911097295617)	(59, 31.742895805142084)	(60, 31.747671376242806)	(61, 31.576121288692356)	(62, 31.643983490316437)	(63, 31.47036288177078)	(64, 31.377475645005887)	(65, 31.547236884627814)	(66, 31.53968253968254)	(67, 31.579662502739424)	(68, 31.329981213393744)	(69, 31.24642857142857)	(70, 31.08676520365565)	(71, 30.974195021694452)	(72, 31.130847614636405)	(73, 30.835461162152487)	(74, 30.82209543568465)	(75, 29.17303291674001)
SRR8668759_10K_subsample	(1, 30.241)	(2, 30.6665)	(3, 31.1302)	(4, 31.1616)	(5, 31.1312)	(6, 34.3683)	(7, 34.4135)	(8, 34.3728)	(9, 34.3541)	(10, 34.1854)	(11, 34.4385)	(12, 34.4279)	(13, 34.1498)	(14, 34.2596)	(15, 34.0918)	(16, 34.1666)	(17, 34.0307)	(18, 33.9755)	(19, 34.0253)	(20, 33.9634)	(21, 33.9323)	(22, 33.6853)	(23, 33.4734)	(24, 33.5996)	(25, 33.5849)	(26, 33.2257)	(27, 33.1588)	(28, 33.3423)	(29, 33.1483)	(30, 33.2015)	(31, 33.0686)	(32, 33.0813)	(33, 33.0185)	(34, 32.9442)	(35, 32.9733)	(36, 33.01287985510163)	(37, 32.91117824773414)	(38, 32.67950010078613)	(39, 32.82610012111425)	(40, 32.72651040614266)	(41, 31.670510875063226)	(42, 31.467233870150917)	(43, 31.044444444444444)	(44, 30.842153377348907)	(45, 31.605145413870247)	(46, 30.950122149837135)	(47, 30.72356895498065)	(48, 31.315)	(49, 30.579840523410347)	(50, 30.391495901639345)	(51, 31.083615471427105)	(52, 30.74331000411692)	(53, 30.32438571133595)	(54, 30.043473760480282)	(55, 29.9920116194626)	(56, 30.922149464712607)	(57, 29.962893475088595)	(58, 29.951553834885424)	(59, 30.442180443230754)	(60, 29.921011058451818)	(61, 29.803830282509786)	(62, 30.560033941450996)	(63, 30.01852640545145)	(64, 29.830696879008123)	(65, 30.44564983888292)	(66, 30.745358376511227)	(67, 31.01279965289077)	(68, 31.291467131040488)	(69, 31.17603323857424)	(70, 30.990438509726342)	(71, 30.57056028290419)	(72, 29.90340211935304)	(73, 29.177097661623108)	(74, 29.215508559919435)	(75, 28.381791953838757)
SRR8668769_10K_subsample	(1, 31.6045)	(2, 31.5961)	(3, 31.6211)	(4, 31.6497)	(5, 31.6632)	(6, 35.2655)	(7, 35.2392)	(8, 35.246)	(9, 35.182)	(10, 35.1692)	(11, 35.231)	(12, 35.2724)	(13, 35.2097)	(14, 35.1693)	(15, 35.1686)	(16, 35.2093)	(17, 35.1645)	(18, 35.1938)	(19, 35.131)	(20, 35.1259)	(21, 35.1305)	(22, 35.1362)	(23, 35.1115)	(24, 35.0027)	(25, 35.0314)	(26, 35.0014)	(27, 34.995)	(28, 34.8915)	(29, 34.8585)	(30, 34.912)	(31, 34.8366)	(32, 34.925)	(33, 34.9404)	(34, 34.9626)	(35, 34.846)	(36, 34.77777777777778)	(37, 34.84628462846285)	(38, 34.71037103710371)	(39, 34.760276027602764)	(40, 34.77127712771277)	(41, 34.821682168216824)	(42, 34.704570457045705)	(43, 34.67626762676267)	(44, 34.639327865573115)	(45, 34.66609982994898)	(46, 34.58017405221567)	(47, 34.63068920676203)	(48, 34.66690007002101)	(49, 34.57743097238895)	(50, 34.492396958783516)	(51, 34.452426213106556)	(52, 34.42271135567784)	(53, 34.475480384307446)	(54, 34.34064064064064)	(55, 34.32495745319852)	(56, 34.263895843765646)	(57, 34.31072823800461)	(58, 34.16509717491485)	(59, 34.26605872331897)	(60, 34.134682833951295)	(61, 34.193305942479206)	(62, 34.13944862155388)	(63, 34.056776005617415)	(64, 34.11189162067235)	(65, 34.00120530333467)	(66, 33.95897435897436)	(67, 33.90080482897384)	(68, 33.84235957318301)	(69, 33.872355430183354)	(70, 33.83104838709677)	(71, 33.88367161466223)	(72, 33.7595462372126)	(73, 33.80261532125206)	(74, 33.67819648579954)	(75, 32.437183750180715)
SRR8668771_10K_subsample	(1, 31.534)	(2, 31.5414)	(3, 31.6181)	(4, 31.6557)	(5, 31.6595)	(6, 35.2613)	(7, 35.1876)	(8, 35.2739)	(9, 35.2067)	(10, 35.1344)	(11, 35.2328)	(12, 35.1932)	(13, 35.2499)	(14, 35.1564)	(15, 35.1361)	(16, 35.1432)	(17, 35.2086)	(18, 35.2053)	(19, 35.1689)	(20, 35.1211)	(21, 35.1333)	(22, 35.0846)	(23, 35.0118)	(24, 35.0304)	(25, 35.0676)	(26, 34.9271)	(27, 34.9109)	(28, 34.856)	(29, 34.8889)	(30, 34.9917)	(31, 34.8458)	(32, 34.8879)	(33, 34.8531)	(34, 34.88)	(35, 34.8286)	(36, 34.81178117811781)	(37, 34.85067013402681)	(38, 34.79865973194639)	(39, 34.712942588517706)	(40, 34.75775155031006)	(41, 34.6963088926678)	(42, 34.71061318395519)	(43, 34.7371211363409)	(44, 34.659297789336804)	(45, 34.66179853956187)	(46, 34.672401720516156)	(47, 34.576472941882564)	(48, 34.57062825130052)	(49, 34.5172068827531)	(50, 34.531965982991494)	(51, 34.45392696348174)	(52, 34.46873436718359)	(53, 34.43736241745047)	(54, 34.407344406643986)	(55, 34.4408085659962)	(56, 34.35145145145145)	(57, 34.37621383521874)	(58, 34.170721938520074)	(59, 34.27751627441162)	(60, 34.19453070219373)	(61, 34.16731790401764)	(62, 34.07866519691352)	(63, 34.1495589414595)	(64, 34.100250626566414)	(65, 34.0137343358396)	(66, 33.9016442751153)	(67, 34.00351017952061)	(68, 33.885634028892454)	(69, 33.91501103752759)	(70, 33.8209554395825)	(71, 33.80375803858521)	(72, 33.76806620912394)	(73, 33.80809949635112)	(74, 33.75223386651958)	(75, 32.5205024545192)
SRR8668772_10K_subsample	(1, 31.616)	(2, 31.6178)	(3, 31.6523)	(4, 31.6983)	(5, 31.6672)	(6, 35.3062)	(7, 35.2239)	(8, 35.2264)	(9, 35.2458)	(10, 35.252)	(11, 35.2526)	(12, 35.2154)	(13, 35.2315)	(14, 35.2891)	(15, 35.2688)	(16, 35.2258)	(17, 35.2265)	(18, 35.2024)	(19, 35.2259)	(20, 35.2131)	(21, 35.2354)	(22, 35.1342)	(23, 35.1149)	(24, 35.1171)	(25, 35.0591)	(26, 34.9774)	(27, 35.0246)	(28, 34.9937)	(29, 34.9371)	(30, 34.9412)	(31, 34.9059)	(32, 34.9879)	(33, 34.9424)	(34, 34.91)	(35, 34.9173)	(36, 34.8321)	(37, 34.8102)	(38, 34.856)	(39, 34.8351)	(40, 34.8203)	(41, 34.835083508350834)	(42, 34.722872287228725)	(43, 34.71564312862572)	(44, 34.720744148829766)	(45, 34.728618585575674)	(46, 34.703911173352004)	(47, 34.60270135067534)	(48, 34.62727636581949)	(49, 34.55083049829898)	(50, 34.54932959775866)	(51, 34.56965572457966)	(52, 34.43054443554844)	(53, 34.505255781359494)	(54, 34.46360268348854)	(55, 34.39509263895844)	(56, 34.42417868589744)	(57, 34.32748948106592)	(58, 34.229281491131374)	(59, 34.377606255012026)	(60, 34.33022462896109)	(61, 34.26308926780341)	(62, 34.210616094722056)	(63, 34.16400682525344)	(64, 34.114033326641234)	(65, 34.04949799196787)	(66, 34.0403695521189)	(67, 34.037982315112544)	(68, 33.84281407035176)	(69, 33.98290254450367)	(70, 33.93637370381556)	(71, 33.914012096774194)	(72, 33.880461165048544)	(73, 33.847971237801744)	(74, 33.815372773257096)	(75, 32.68600029442073)
SRR8668773_10K_subsample	(1, 31.6106)	(2, 31.5753)	(3, 31.66)	(4, 31.677)	(5, 31.6184)	(6, 35.2799)	(7, 35.2363)	(8, 35.1935)	(9, 35.2683)	(10, 35.1971)	(11, 35.2036)	(12, 35.2231)	(13, 35.2567)	(14, 35.2459)	(15, 35.2565)	(16, 35.217)	(17, 35.2657)	(18, 35.1937)	(19, 35.1693)	(20, 35.1407)	(21, 35.1812)	(22, 35.1074)	(23, 35.1329)	(24, 35.0213)	(25, 35.0691)	(26, 35.0138)	(27, 34.9972)	(28, 34.9688)	(29, 35.0147)	(30, 34.9481)	(31, 34.9152)	(32, 34.922)	(33, 34.9309)	(34, 34.9159)	(35, 34.836)	(36, 34.93508701740348)	(37, 34.77905581116223)	(38, 34.7881576315263)	(39, 34.87986395918776)	(40, 34.83805141542463)	(41, 34.89176753025908)	(42, 34.77543262978894)	(43, 34.74952485745724)	(44, 34.717015104531356)	(45, 34.71211363409023)	(46, 34.70811243373012)	(47, 34.640592177653296)	(48, 34.63165266106443)	(49, 34.62635054021609)	(50, 34.62621310655328)	(51, 34.57718859429715)	(52, 34.536968484242124)	(53, 34.40454272563538)	(54, 34.43130191133794)	(55, 34.44411087761433)	(56, 34.41493194555645)	(57, 34.38674807326594)	(58, 34.31958762886598)	(59, 34.34167584342777)	(60, 34.316010814058274)	(61, 34.1700571199519)	(62, 34.16419406575782)	(63, 34.203549583876466)	(64, 34.11609472205499)	(65, 34.088025695071764)	(66, 33.9916658299026)	(67, 34.0776494224008)	(68, 33.916390312531405)	(69, 34.038914027149325)	(70, 33.951796316795814)	(71, 33.897702076194314)	(72, 33.86827195467422)	(73, 33.999276410998554)	(74, 33.920276138514645)	(75, 32.775565204371915)
SRR8668774_10K_subsample	(1, 31.0726)	(2, 31.2053)	(3, 31.2674)	(4, 31.2989)	(5, 31.2963)	(6, 34.5705)	(7, 34.5194)	(8, 34.4777)	(9, 34.5068)	(10, 34.3867)	(11, 34.6366)	(12, 34.6435)	(13, 34.5012)	(14, 34.5534)	(15, 34.4949)	(16, 34.4613)	(17, 34.4807)	(18, 34.474)	(19, 34.4548)	(20, 34.4162)	(21, 34.434)	(22, 34.3591)	(23, 34.3195)	(24, 34.2909)	(25, 34.2956)	(26, 34.1831)	(27, 34.1555)	(28, 34.116)	(29, 34.117)	(30, 34.1353)	(31, 34.0532)	(32, 33.9635)	(33, 34.0266)	(34, 33.9025)	(35, 33.8457)	(36, 33.88491944361053)	(37, 33.91941941941942)	(38, 33.8434277705476)	(39, 33.768499048763395)	(40, 33.78489885840176)	(41, 33.7566863668236)	(42, 33.69903788334336)	(43, 33.754285714285714)	(44, 33.63445715432471)	(45, 33.699628551350266)	(46, 33.57204538608294)	(47, 33.60311557788945)	(48, 33.63391330584331)	(49, 33.585707096124814)	(50, 33.483279613215146)	(51, 33.506551098568835)	(52, 33.436150897720395)	(53, 33.33467904723456)	(54, 33.190139422105474)	(55, 33.22912660661876)	(56, 33.19641046440884)	(57, 33.30070072103179)	(58, 33.126487036095575)	(59, 33.225458248472506)	(60, 33.137843077237015)	(61, 33.00010215548064)	(62, 33.07769474869485)	(63, 32.97330595482546)	(64, 33.00400987045034)	(65, 32.85459420439311)	(66, 32.737310038250804)	(67, 32.78613615169412)	(68, 32.77171086843474)	(69, 32.613707490089716)	(70, 32.65009420138162)	(71, 32.633518849102174)	(72, 32.64340101522843)	(73, 32.38448238599525)	(74, 32.36381525639542)	(75, 31.03047737521381)
