Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR8668755_10K_subsample	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 5.0)	(23.0, 16.0)	(24.0, 28.0)	(25.0, 48.0)	(26.0, 78.0)	(27.0, 126.0)	(28.0, 203.0)	(29.0, 244.0)	(30.0, 318.0)	(31.0, 432.0)	(32.0, 569.0)	(33.0, 911.0)	(34.0, 2009.0)	(35.0, 5012.0)
SRR8668756_10K_subsample	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 5.0)	(21.0, 7.0)	(22.0, 17.0)	(23.0, 39.0)	(24.0, 58.0)	(25.0, 90.0)	(26.0, 162.0)	(27.0, 257.0)	(28.0, 354.0)	(29.0, 428.0)	(30.0, 541.0)	(31.0, 661.0)	(32.0, 839.0)	(33.0, 1169.0)	(34.0, 1884.0)	(35.0, 3486.0)
SRR8668757_10K_subsample	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 0.0)	(21.0, 3.0)	(22.0, 8.0)	(23.0, 13.0)	(24.0, 29.0)	(25.0, 49.0)	(26.0, 68.0)	(27.0, 111.0)	(28.0, 163.0)	(29.0, 229.0)	(30.0, 292.0)	(31.0, 357.0)	(32.0, 486.0)	(33.0, 764.0)	(34.0, 1830.0)	(35.0, 5595.0)
SRR8668758_10K_subsample	(2.0, 24.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 5.0)	(18.0, 5.0)	(19.0, 10.0)	(20.0, 13.0)	(21.0, 16.0)	(22.0, 37.0)	(23.0, 61.0)	(24.0, 102.0)	(25.0, 162.0)	(26.0, 215.0)	(27.0, 324.0)	(28.0, 426.0)	(29.0, 523.0)	(30.0, 648.0)	(31.0, 809.0)	(32.0, 990.0)	(33.0, 1302.0)	(34.0, 1882.0)	(35.0, 2446.0)
SRR8668759_10K_subsample	(2.0, 55.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 25.0)	(18.0, 58.0)	(19.0, 83.0)	(20.0, 75.0)	(21.0, 74.0)	(22.0, 113.0)	(23.0, 142.0)	(24.0, 194.0)	(25.0, 261.0)	(26.0, 335.0)	(27.0, 323.0)	(28.0, 348.0)	(29.0, 486.0)	(30.0, 490.0)	(31.0, 543.0)	(32.0, 691.0)	(33.0, 766.0)	(34.0, 1398.0)	(35.0, 3540.0)
SRR8668769_10K_subsample	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 9.0)	(23.0, 11.0)	(24.0, 20.0)	(25.0, 32.0)	(26.0, 50.0)	(27.0, 89.0)	(28.0, 120.0)	(29.0, 175.0)	(30.0, 238.0)	(31.0, 322.0)	(32.0, 468.0)	(33.0, 709.0)	(34.0, 1716.0)	(35.0, 6038.0)
SRR8668771_10K_subsample	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 4.0)	(22.0, 8.0)	(23.0, 7.0)	(24.0, 20.0)	(25.0, 39.0)	(26.0, 54.0)	(27.0, 90.0)	(28.0, 146.0)	(29.0, 165.0)	(30.0, 222.0)	(31.0, 313.0)	(32.0, 444.0)	(33.0, 690.0)	(34.0, 1678.0)	(35.0, 6118.0)
SRR8668772_10K_subsample	(18.0, 1.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 9.0)	(22.0, 9.0)	(23.0, 19.0)	(24.0, 25.0)	(25.0, 35.0)	(26.0, 49.0)	(27.0, 83.0)	(28.0, 115.0)	(29.0, 162.0)	(30.0, 226.0)	(31.0, 304.0)	(32.0, 407.0)	(33.0, 636.0)	(34.0, 1561.0)	(35.0, 6358.0)																
SRR8668773_10K_subsample	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 3.0)	(21.0, 5.0)	(22.0, 7.0)	(23.0, 17.0)	(24.0, 20.0)	(25.0, 39.0)	(26.0, 61.0)	(27.0, 80.0)	(28.0, 132.0)	(29.0, 173.0)	(30.0, 220.0)	(31.0, 272.0)	(32.0, 406.0)	(33.0, 630.0)	(34.0, 1483.0)	(35.0, 6449.0)
SRR8668774_10K_subsample	(2.0, 7.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 3.0)	(22.0, 13.0)	(23.0, 32.0)	(24.0, 41.0)	(25.0, 85.0)	(26.0, 127.0)	(27.0, 228.0)	(28.0, 285.0)	(29.0, 368.0)	(30.0, 487.0)	(31.0, 574.0)	(32.0, 726.0)	(33.0, 951.0)	(34.0, 1703.0)	(35.0, 4367.0)
