Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR8668755_10K_subsample	(1.0, 82.45)	(2.0, 4.5)	(3.0, 3.0)	(4.0, 1.76)	(5.0, 0.95)	(6.0, 0.84)	(7.0, 0.91)	(8.0, 0.72)	(9.0, 0.44999999999999996)	('>10', 4.42)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8668756_10K_subsample	(1.0, 90.92)	(2.0, 2.46)	(3.0, 1.2)	(4.0, 0.48)	(5.0, 0.5)	(6.0, 0.66)	(7.0, 0.7000000000000001)	(8.0, 0.32)	(9.0, 0.27)	('>10', 2.4899999999999998)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8668757_10K_subsample	(1.0, 88.82)	(2.0, 3.02)	(3.0, 1.71)	(4.0, 0.6799999999999999)	(5.0, 1.0999999999999999)	(6.0, 1.02)	(7.0, 0.63)	(8.0, 0.5599999999999999)	(9.0, 0.09)	('>10', 2.37)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8668758_10K_subsample	(1.0, 89.53999999999999)	(2.0, 2.74)	(3.0, 1.35)	(4.0, 1.04)	(5.0, 0.8999999999999999)	(6.0, 0.72)	(7.0, 0.42)	(8.0, 0.16)	(9.0, 0.27)	('>10', 2.22)	('>50', 0.64)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8668759_10K_subsample	(1.0, 74.14)	(2.0, 5.319999999999999)	(3.0, 2.52)	(4.0, 1.8399999999999999)	(5.0, 1.5)	(6.0, 0.84)	(7.0, 0.7000000000000001)	(8.0, 0.48)	(9.0, 0.09)	('>10', 5.83)	('>50', 0.5499999999999999)	('>100', 6.1899999999999995)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8668769_10K_subsample	(1.0, 84.35000000000001)	(2.0, 3.36)	(3.0, 1.53)	(4.0, 1.28)	(5.0, 0.8999999999999999)	(6.0, 0.96)	(7.0, 0.63)	(8.0, 0.48)	(9.0, 0.63)	('>10', 5.34)	('>50', 0.54)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8668771_10K_subsample	(1.0, 81.03)	(2.0, 5.82)	(3.0, 3.09)	(4.0, 2.12)	(5.0, 1.5)	(6.0, 1.44)	(7.0, 0.98)	(8.0, 0.5599999999999999)	(9.0, 0.54)	('>10', 2.92)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8668772_10K_subsample	(1.0, 84.43)	(2.0, 4.279999999999999)	(3.0, 2.04)	(4.0, 1.6)	(5.0, 0.8999999999999999)	(6.0, 0.84)	(7.0, 0.49)	(8.0, 0.64)	(9.0, 0.54)	('>10', 4.24)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8668773_10K_subsample	(1.0, 88.48)	(2.0, 2.8000000000000003)	(3.0, 1.23)	(4.0, 0.76)	(5.0, 0.95)	(6.0, 0.54)	(7.0, 0.5599999999999999)	(8.0, 0.32)	(9.0, 0.27)	('>10', 4.09)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8668774_10K_subsample	(1.0, 88.06)	(2.0, 3.4000000000000004)	(3.0, 1.6199999999999999)	(4.0, 0.9199999999999999)	(5.0, 0.8999999999999999)	(6.0, 0.72)	(7.0, 0.49)	(8.0, 0.24)	(9.0, 0.27)	('>10', 3.38)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
